name,year,rate,code
Alabama,2016,1.09,1
Alabama,2015,1.11,2
Alabama,2014,1.13,3
Alabama,2013,1.14,4
Alabama,2012,1.16,5
Alabama,2011,1.16,6
Alabama,2010,1.17,7
Alabama,2009,1.19,8
Alabama,2008,1.22,9
Alabama,2007,1.23,10
Alabama,2006,1.21,11
Alabama,2005,1.18,12
Alabama,2004,1.19,13
Alabama,2003,1.19,14
Alabama,2002,1.18,15
Alabama,2001,1.16,16
Alabama,2000,1.19,17
Alabama,1999,1.18,18
Alabama,1998,1.16,19
Alabama,1997,1.14,20
Alabama,1996,1.17,21
Alabama,1995,1.14,22
Alabama,1994,1.16,23
Alabama,1993,1.14,24
Alabama,1992,1.02,25
Alabama,1991,1,26
Alabama,1990,1.12,27
Alabama,1989,1.12,28
Alabama,1988,1.12,29
Alabama,1987,1.11,30
Alabama,1986,1.1,31
Alabama,1985,1.07,32
Alabama,1984,1.03,33
Alabama,1983,1.01,34
Alabama,1982,1,35
Alabama,1981,1,36
Alabama,1980,0.95,37
Alabama,1979,0.96,38
Alabama,1978,0.95,39
Alabama,1977,0.97,40
Alaska,2016,1.15,41
Alaska,2015,1.11,42
Alaska,2014,1.11,43
Alaska,2013,1.07,44
Alaska,2012,1.17,45
Alaska,2011,1.15,46
Alaska,2010,1.23,47
Alaska,2009,1.32,48
Alaska,2008,1.2,49
Alaska,2007,1.13,50
Alaska,2006,1.25,51
Alaska,2005,1.23,52
Alaska,2004,1.31,53
Alaska,2003,1.27,54
Alaska,2002,1.35,55
Alaska,2001,1.32,56
Alaska,2000,1.37,57
Alaska,1999,1.4,58
Alaska,1998,1.39,59
Alaska,1997,1.31,60
Alaska,1996,1.31,61
Alaska,1995,1.45,62
Alaska,1994,1.53,63
Alaska,1993,1.31,64
Alaska,1992,1.53,65
Alaska,1991,1.54,66
Alaska,1990,1.62,67
Alaska,1989,1.52,68
Alaska,1988,1.54,69
Alaska,1987,1.6,70
Alaska,1986,1.65,71
Alaska,1985,1.63,72
Alaska,1984,1.67,73
Alaska,1983,1.71,74
Alaska,1982,1.69,75
Alaska,1981,1.68,76
Alaska,1980,1.54,77
Alaska,1979,1.48,78
Alaska,1978,1.39,79
Alaska,1977,1.19,80
Arizona,2016,1.14,81
Arizona,2015,1.16,82
Arizona,2014,1.18,83
Arizona,2013,1.13,84
Arizona,2012,1.14,85
Arizona,2011,1.15,86
Arizona,2010,1.23,87
Arizona,2009,1.22,88
Arizona,2008,1.3,89
Arizona,2007,1.39,90
Arizona,2006,1.34,91
Arizona,2005,1.35,92
Arizona,2004,1.4,93
