name,year,rate,code
Alabama,2016,0.26,1
Alabama,2015,0.26,2
Alabama,2014,0.25,3
Alabama,2013,0.25,4
Alabama,2012,0.24,5
Alabama,2011,0.24,6
Alabama,2010,0.23,7
Alabama,2009,0.22,8
Alabama,2008,0.22,9
Alabama,2007,0.22,10
Alabama,2006,0.21,11
Alabama,2005,0.2,12
Alabama,2004,0.2,13
Alabama,2003,0.19,14
Alabama,2002,0.21,15
Alabama,2001,0.17,16
Alabama,2000,0.18,17
Alabama,1999,0.17,18
Alabama,1998,0.17,19
Alabama,1997,0.16,20
Alabama,1996,0.18,21
Alabama,1995,0.16,22
Alabama,1994,0.17,23
Alabama,1993,0.17,24
Alabama,1992,0.19,25
Alabama,1991,0.17,26
Alabama,1990,0.18,27
Alabama,1989,0.17,28
Alabama,1988,0.19,29
Alabama,1987,0.18,30
Alabama,1986,0.18,31
Alabama,1985,0.17,32
Alabama,1984,0.19,33
Alabama,1983,0.17,34
Alabama,1982,0.18,35
Alabama,1981,0.19,36
Alabama,1980,0.16,37
Alabama,1979,0.12,38
Alabama,1978,0.12,39
Alabama,1977,0.12,40
Alaska,2016,0.56,41
Alaska,2015,0.53,42
Alaska,2014,0.52,43
Alaska,2013,0.52,44
Alaska,2012,0.53,45
Alaska,2011,0.54,46
Alaska,2010,0.55,47
Alaska,2009,0.54,48
Alaska,2008,0.49,49
Alaska,2007,0.44,50
Alaska,2006,0.47,51
Alaska,2005,0.43,52
Alaska,2004,0.44,53
Alaska,2003,0.37,54
Alaska,2002,0.45,55
Alaska,2001,0.38,56
Alaska,2000,0.37,57
Alaska,1999,0.38,58
Alaska,1998,0.37,59
Alaska,1997,0.36,60
Alaska,1996,0.38,61
Alaska,1995,0.39,62
Alaska,1994,0.4,63
Alaska,1993,0.32,64
Alaska,1992,0.41,65
Alaska,1991,0.43,66
Alaska,1990,0.46,67
Alaska,1989,0.44,68
Alaska,1988,0.47,69
Alaska,1987,0.52,70
Alaska,1986,0.55,71
Alaska,1985,0.56,72
Alaska,1984,0.56,73
Alaska,1983,0.59,74
Alaska,1982,0.54,75
Alaska,1981,0.56,76
Alaska,1980,0.5,77
Alaska,1979,0.46,78
Alaska,1978,0.45,79
Alaska,1977,0.42,80
Arizona,2016,0.4,81
Arizona,2015,0.4,82
Arizona,2014,0.4,83
Arizona,2013,0.42,84
Arizona,2012,0.45,85
Arizona,2011,0.44,86
Arizona,2010,0.41,87
Arizona,2009,0.39,88
Arizona,2008,0.41,89
Arizona,2007,0.34,90
Arizona,2006,0.38,91
Arizona,2005,0.4,92
Arizona,2004,0.34,93
Arizona,2003,0.37,94
Arizona,2002,0.33,95
Arizona,2001,0.33,96
Arizona,2000,0.31,97
Arizona,1999,0.34,98
Arizona,1998,0.33,99
Arizona,1997,0.31,100
Arizona,1996,0.33,101
Arizona,1995,0.29,102
Arizona,1994,0.29,103
Arizona,1993,0.27,104
Arizona,1992,0.31,105
Arizona,1991,0.35,106
Arizona,1990,0.37,107
Arizona,1989,0.35,108
Arizona,1988,0.41,109
Arizona,1987,0.45,110
Arizona,1986,0.45,111
Arizona,1985,0.45,112
Arizona,1984,0.44,113
Arizona,1983,0.43,114
Arizona,1982,0.39,115
Arizona,1981,0.42,116
Arizona,1980,0.36,117
Arizona,1979,0.36,118
Arizona,1978,0.35,119
Arizona,1977,0.32,120
Arkansas,2016,0.22,121
Arkansas,2015,0.22,122
Arkansas,2014,0.21,123
Arkansas,2013,0.2,124
Arkansas,2012,0.2,125
Arkansas,2011,0.18,126
Arkansas,2010,0.19,127
Arkansas,2009,0.17,128
Arkansas,2008,0.17,129
Arkansas,2007,0.15,130
Arkansas,2006,0.16,131
Arkansas,2005,0.15,132
Arkansas,2004,0.15,133
Arkansas,2003,0.14,134
Arkansas,2002,0.14,135
Arkansas,2001,0.13,136
Arkansas,2000,0.12,137
Arkansas,1999,0.12,138
Arkansas,1998,0.11,139
Arkansas,1997,0.12,140
Arkansas,1996,0.12,141
Arkansas,1995,0.11,142
Arkansas,1994,0.13,143
Arkansas,1993,0.11,144
Arkansas,1992,0.12,145
Arkansas,1991,0.11,146
Arkansas,1990,0.13,147
Arkansas,1989,0.13,148
Arkansas,1988,0.14,149
Arkansas,1987,0.11,150
Arkansas,1986,0.09,151
Arkansas,1985,0.13,152
Arkansas,1984,0.12,153
Arkansas,1983,0.13,154
Arkansas,1982,0.12,155
Arkansas,1981,0.12,156
Arkansas,1980,0.12,157
Arkansas,1979,0.09,158
Arkansas,1978,0.11,159
Arkansas,1977,0.1,160
California,2016,0.59,161
California,2015,0.53,162
California,2014,0.6,163
California,2013,0.6,164
California,2012,0.63,165
California,2011,0.58,166
California,2010,0.49,167
California,2009,0.57,168
California,2008,0.55,169
California,2007,0.54,170
California,2006,0.56,171
California,2005,0.54,172
California,2004,0.52,173
California,2003,0.51,174
California,2002,0.49,175
California,2001,0.48,176
California,2000,0.48,177
California,1999,0.48,178
California,1998,0.49,179
California,1997,0.52,180
California,1996,0.5,181
California,1995,0.46,182
California,1994,0.47,183
California,1993,0.48,184
California,1992,0.51,185
California,1991,0.49,186
California,1990,0.59,187
California,1989,0.6,188
California,1988,0.67,189
California,1987,0.73,190
California,1986,0.78,191
California,1985,0.78,192
California,1984,0.73,193
California,1983,0.74,194
California,1982,0.72,195
California,1981,0.72,196
California,1980,0.71,197
California,1979,0.68,198
California,1978,0.67,199
California,1977,0.65,200
Colorado,2016,0.51,201
Colorado,2015,0.51,202
Colorado,2014,0.51,203
Colorado,2013,0.5,204
Colorado,2012,0.52,205
Colorado,2011,0.49,206
Colorado,2010,0.48,207
Colorado,2009,0.46,208
Colorado,2008,0.47,209
Colorado,2007,0.47,210
Colorado,2006,0.45,211
Colorado,2005,0.42,212
Colorado,2004,0.43,213
Colorado,2003,0.4,214
Colorado,2002,0.39,215
Colorado,2001,0.41,216
Colorado,2000,0.37,217
Colorado,1999,0.37,218
Colorado,1998,0.37,219
Colorado,1997,0.37,220
Colorado,1996,0.37,221
Colorado,1995,0.35,222
Colorado,1994,0.35,223
Colorado,1993,0.36,224
Colorado,1992,0.36,225
Colorado,1991,0.35,226
Colorado,1990,0.29,227
Colorado,1989,0.38,228
Colorado,1988,0.4,229
Colorado,1987,0.45,230
Colorado,1986,0.47,231
Colorado,1985,0.5,232
Colorado,1984,0.46,233
Colorado,1983,0.46,234
Colorado,1982,0.46,235
Colorado,1981,0.44,236
Colorado,1980,0.46,237
Colorado,1979,0.46,238
Colorado,1978,0.46,239
Colorado,1977,0.36,240
Connecticut,2016,0.62,241
Connecticut,2015,0.61,242
Connecticut,2014,0.6,243
Connecticut,2013,0.61,244
Connecticut,2012,0.61,245
Connecticut,2011,0.62,246
Connecticut,2010,0.6,247
Connecticut,2009,0.59,248
Connecticut,2008,0.58,249
